name,brand,address,lat,lon
NTUC FairPrice,NTUC Fairprice,Sin Ming Avenue,1.3633878,103.8354915
Ang Mo Supermarket,,Ang Mo Kio Street 21,1.3687701,103.8346254
NTUC FairPrice,,,1.3477065,103.7573892
Sheng Siong,Sheng Siong,Clementi West Street 2,1.3023596,103.7637976
Giant (Express),,Blk 284 Bukit Batok East Avenue 3,1.346701,103.757482
NTUC FairPrice,,Woodlands Avenue 1,1.4290442,103.7811686
Iroha Mart,,,1.3008678,103.8452662
U Stars Super Market,,,1.3778545,103.7494678
Giant,,Ubi Avenue 1,1.3299687,103.9019594
U Stars Supermarket,,,1.3742952,103.7465004
Giant,,Bedok Reservoir Road,1.3334291,103.914137
Sheng Siong,Sheng Siong,Anchorvale Crescent,1.3990861,103.8894388
U Stars Supermarket,,Bedok Reservoir Road,1.3326569,103.9145443
Little Farms,,Lorong Liput,1.3107524,103.795202
Little Farms,,River Valley Road,1.2930751,103.8267442
Little Farms,,,1.3170084,103.8434398
Little Farms,,,1.2768898,103.845801
Fair Price,,,1.4110973,103.8435897
Sheng Siong,Sheng Siong,Potong Pasir Avenue 2,1.3324962,103.8671383
Ang Mo Supermarket,,Potong Pasir Avenue 1,1.3322734,103.8684226
U Stars Xpress,,Rangoon Road,1.3175959,103.8524655
U Stars Mega Mart,,Keat Hong Link,1.3778764,103.7494081
U Stars Supermarket,,,1.3899417,103.8928342
NTUC Fairprice,NTUC Fairprice,,1.2738786,103.8013013
Prime supermarket,,,1.3210368,103.9347053
NTUC FairPrice,NTUC Fairprice,,1.3698274,103.8731096
NTUC FairPrice,NTUC Fairprice,,1.3773078,103.9035432
NTUC Fairprice,NTUC Fairprice,,1.2934982,103.7846403
Sheng Siong,Sheng Siong,Jurong West Avenue 5,1.3487508,103.7032901
Prime,,Jurong West Street 75,1.3485988,103.6983097
I-Tec,,Geylang Road,1.3134045,103.8851494
Yes Natural Retail,,,1.3158211,103.8837425
Sheng Siong,,Jurong West Street 42,1.3522389,103.715901
Shafen Supermarket,,,1.3211109,103.7382196
Wah Cheong,,,1.3096677,103.8842822
Swanston,,New Market Road,1.2854613,103.8430302
KDS Supermarket,,,1.3127942,103.8711163
Maha mart,,,1.2740384,103.8103393
Scoop Wholefoods,,,1.3047518,103.8234804
Prime SuperMarket,,,1.4251164,103.8332429
UnPackt,,,1.2772417,103.8486417
UnPackt,,Jalan Kuras,1.3727295,103.8295882
Cold Storage,,Kallang Avenue,1.3107963,103.8638602
HAO Eccellente,,Raffles Boulevard,1.2924588,103.8583556
SuperNature,,,1.3061755,103.8288115
Don Don Donki,,,1.311611,103.8565105
NTUC FairPrice,NTUC Fairprice,Kallang Bahru,1.3209299,103.8702956
FairPrice,,,1.3190161,103.8638661
NTUC FairPrice Finest,,North Bridge Road,1.2910424,103.8502148
NTUC FairPrice,NTUC Fairprice,Upper Serangoon Road,1.331674,103.8685537
NTUC FairPrice,,Northpoint City,1.4289409,103.8359955
Sheng Siong,Sheng Siong,Sumang Lane,1.4018757,103.8921304
Scarlett,,,1.29999,103.8543229
NTUC FairPrice,NTUC Fairprice,Bishan Street 13,1.3487949,103.8496434
NTUC Fairprice,NTUC Fairprice,,1.2769332,103.8313294
NTUC FairPrice,,,1.3471669,103.7428387
NTUC FairPrice,,,1.453886,103.8195194
NTUC Fairprice,NTUC Fairprice,,1.328377,103.8853008
FairPrice Shop Blk 5 Eunos Crescent,,,1.3211968,103.9035553
