key,lat,lon
moe:757714,1.4508627,103.8155806
moe:757715,1.4452668,103.8209149
moe:768515,1.2899175,103.8519072
moe:768611,1.43343,103.8377866
moe:768643,1.4338487,103.8327098
moe:768679,1.4335986,103.8338869
moe:768687,1.4177742,103.8303764
moe:768857,1.4268563,103.8442636
moe:768959,1.4387276,103.8392901
moe:768960,1.2899175,103.8519072
moe:769026,1.4212286,103.8405876
moe:769028,1.4162058,103.8389493
moe:797538,1.2899175,103.8519072
moe:797636,1.3928921,103.8748431
moe:797701,1.3899531,103.8741429
moe:828671,1.418217,103.9046901
moe:828674,1.4117713,103.8992442
moe:828716,1.404653,103.9109764
moe:828728,1.4071394,103.8989768
moe:828772,1.4019593,103.8985496
moe:828802,1.3992408,103.9183743
moe:828819,1.3999704,103.9130699
moe:828845,1.405623,103.9050707
moe:828848,1.3961911,103.9126887
moe:828867,1.394834,103.9086547
moe:828869,1.3876325,103.9263492
moe:88256,1.2899175,103.8519072
moe:99757,1.2899175,103.8519072
moe:99840,1.2899175,103.8519072
pharma:Glovida-Rx Pharmacy,1.357107,103.8194992
sec:Admiralty Secondary School,1.4459118,103.8029081
sec:Ahmad Ibrahim Secondary School,1.436104,103.83003
sec:Anderson Secondary School,1.3754171,103.8517227
sec:Ang Mo Kio Secondary School,1.3676706,103.842545
sec:Anglican High School,1.3302183,103.9417594
sec:Anglo-Chinese School (Barker Road),1.3197094,103.8356614
sec:Anglo-Chinese School (Independent),1.3032232,103.7806778
sec:Assumption English School,1.3690319,103.7665442
sec:Bartley Secondary School,1.3406213,103.8823385
sec:Beatty Secondary School,1.3417851,103.8522734
sec:Bedok Green Secondary School,1.334061,103.9358583
sec:Bedok South Secondary School,1.3255597,103.9510283
sec:Bedok View Secondary School,1.3244908,103.9435422
sec:Bendemeer Secondary School,1.3244863,103.860486
sec:Boon Lay Secondary School,1.3427581,103.7016738
sec:Bowen Secondary School,1.3708838,103.8776018
sec:Broadrick Secondary School,1.3072658,103.8868802
sec:Bukit Batok Secondary School,1.3484109,103.7407154
sec:Bukit Merah Secondary School,1.2859146,103.812968
sec:Bukit View Secondary School,1.345699,103.752192
sec:CHIJ Katong Convent,1.3060071,103.9169823
sec:CHIJ Secondary (Toa Payoh),1.3326721,103.8428466
sec:CHIJ St. Joseph’s Convent,1.3918518,103.9024866
sec:CHIJ St. Nicholas Girls’ School,1.3734491,103.8340777
sec:CHIJ St. Theresa’s Convent,1.2761489,103.8222477
sec:Canberra Secondary School,1.4537207,103.8141799
sec:Catholic High School,1.3548572,103.8449949
sec:Cedar Girls’ Secondary School,1.3342202,103.8742312
sec:Changkat Changi Secondary School,1.3404936,103.9529718
sec:Christ Church Secondary School,1.426656,103.7931512
sec:Chua Chu Kang Secondary School,1.3830944,103.755231
sec:Chung Cheng High School (Main),1.3053551,103.8917708
sec:Chung Cheng High School (Yishun),1.4191005,103.8372873
sec:Clementi Town Secondary School,1.3156609,103.7619037
sec:Commonwealth Secondary School,1.3197772,103.7457295
sec:Compassvale Secondary School,1.3967572,103.9001974
sec:Crescent Girls’ School,1.2934392,103.8180238
sec:Damai Secondary School,1.337598,103.9268202
sec:Deyi Secondary School,1.3666379,103.85216
sec:Dunearn Secondary School,1.3636052,103.7445026
sec:Dunman High School,1.2994032,103.882215
sec:Dunman Secondary School,1.3611685,103.9560139
sec:East Spring Secondary School,1.3569739,103.9610806
